Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Q&J_CR2032-BS-6-1,1,CR2032,
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,CMT-8504-100-SMT-TR,
"C1, C22",0402,2,10u,
"C10, C11, C14, C15, C19, C23, C25, C3, C32, C4, C5, C6, C7, C9",0402,14,0.1u,
"C12, C13",0402,2,10p,
"C16, C17, C31",0402,3,4.7u,
"C18, C2, C20, C21, C24, C26, C27, C29, C30, C33, C8",0402,11,1u,
C28,0402,1,2.2u,
"D1, D3, D4",0603,3,LED,
D2,D_MiniMELF,1,5.6V,
D5,WS2812B-2020,1,WS2812B-2020,
D6,D_SMA,1,SS14,
F1,1206,1,12V 3A,
"FID1, FID2",Fiducial_1mm_Mask2mm,2,Fiducial,
"H1, H2, H3",JLC_Tooling_Hole,3,Tooling_Hole_JLC,
"H4, H5, H6, H7",MountingHole_2.7mm_M2.5,4,Mounting_Hole,
J1,USB-C-16p,1,USB_C_Receptacle_USB2.0,
J2,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,PROG,
J3,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,FFC 24,
"J4, J5, J6",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,3,5V,
J7,OLED-128O064D_edit_reverse_v2,1,OLED,
"Q1, Q2",SOT-23,2,AO3401A,
Q3,SOT-23,1,AO3400A,
Q4,SOT-23,1,2N7002,
"R1, R11, R18, R19, R24, R30",0402,6,1k,
"R10, R8",0402,2,100k,
"R12, R5",0402,2,2.2k,
"R13, R14",0402,2,4.7k,
R15,0402,1,300,
"R16, R17",0402,2,0,
"R2, R3",0402,2,5.1k,
"R20, R23, R25, R26, R27, R28, R29, R4, R9",0402,9,10k,
R22,0402,1,51,
R31,0402,1,330k,
"R6, R7",0402,2,22,
SW1,SSSS811101,1,SSSS811101,
"SW2, SW3, SW4, SW5",SW_SPST_TL3342_RT,4,TS-1187A-B-A-B,
TP1,TestPoint_Pad_D1.0mm,1,VBUS,
TP3,TestPoint_Pad_D1.0mm,1,RST,
TP4,ronghe_RH-5016_C5199799,1,GND CLIP,
TP5,TestPoint_Pad_D1.0mm,1,5V,
TP7,TestPoint_Pad_D1.0mm,1,3V3,
U1,QFN-56_EP_7x7_Pitch0.4mm,1,RP2040,
U2,SOT-23-6,1,SRV05-4,
U3,SOT-23-5,1,RT9080-33GJ5,
U4,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,1,W25Q64JV,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1307Z+,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XYDBPCNANF-12MHZ,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
