Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Q&J_CR2032-BS-6-1,1,CR2032,
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,CMT-8504-100-SMT-TR,
"C1, C22",402,2,10u,
"C10, C11, C14, C15, C19, C23, C25, C3, C32, C4, C5, C6, C7, C9",402,14,0.1u,
"C12, C13",402,2,10p,
"C16, C17, C31",402,3,4.7u,
"C18, C2, C20, C21, C24, C26, C27, C29, C30, C33, C8",402,11,1u,
C28,402,1,2.2u,
D1,805,1,LED_Y,
D2,D_MiniMELF,1,5.6V,
"D3, D4",805,2,LED_G,
D5,WS2812B-2020,1,WS2812B-2020,
D6,D_SMA,1,SS14,
F1,1206,1,12V 3A,
J1,USB-C-16p,1,USB_C_Receptacle_USB2.0,
J3,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,FFC 24,
"J4, J5, J6",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,3,5V,
J7,OLED-128O064D_edit_reverse_v2,1,OLED,
"Q1, Q2",SOT-23,2,AO3401A,
Q3,SOT-23,1,AO3400A,
Q4,SOT-23,1,2N7002,
"R1, R11, R15, R18, R19, R24, R30",402,7,1k,
"R10, R8",402,2,100k,
"R13, R14, R21",402,3,4.7k,
"R16, R17",402,2,0,
"R2, R3",402,2,5.1k,
"R20, R23, R25, R27, R28, R29, R4, R9",402,8,10k,
R22,402,1,51,
R31,402,1,330k,
R5,402,1,2.2k,
"R6, R7",402,2,22,
SW1,SSSS811101,1,SSSS811101,
"SW2, SW3, SW4, SW5",SW_SPST_TL3342_RT,4,TS-1187A-B-A-B,
U1,QFN-56_EP_7x7_Pitch0.4mm,1,RP2040,
U2,SOT-23-6,1,SRV05-4,
U3,SOT-23-5,1,RT9080-33GJ5,
U4,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,1,W25Q64JV,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1307Z+,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XYDBPCNANF-12MHZ,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
