Designator,Mid X,Mid Y,Rotation,Layer
BT1,11.25,25.0,90.0,top
BZ1,85.8,43.7,0.0,top
C1,71.1,18.6,0.0,top
C10,58.62,18.3,180.0,top
C11,68.5,17.0,270.0,top
C12,58.4865,26.3,180.0,top
C13,58.5865,20.5,0.0,top
C14,73.3,22.5,0.0,top
C15,58.62,19.4,180.0,top
C16,81.9,25.7,0.0,top
C17,82.0,31.9,0.0,top
C18,76.8,24.8,90.0,top
C19,86.7,28.88,270.0,top
C2,71.1,17.4,0.0,top
C20,17.475,48.205,180.0,top
C21,73.6,47.2,180.0,top
C22,77.8,47.9,0.0,top
C23,86.9,21.7,90.0,top
C24,32.9,3.4,270.0,top
C25,35.7,3.4,90.0,top
C26,31.5,3.4,270.0,top
C27,47.74,39.26,90.0,top
C28,44.1,3.62,90.0,top
C29,25.9,3.8,180.0,top
C3,69.37,28.32,90.0,top
C30,28.2,3.8,180.0,top
C31,45.3,3.62,90.0,top
C32,49.13,39.26,270.0,top
C33,30.1,3.42,270.0,top
C4,68.13,28.35,90.0,top
C5,59.1,14.0,270.0,top
C6,63.4,17.1,270.0,top
C7,64.5,17.1,270.0,top
C8,71.1,19.8,0.0,top
C9,67.4,17.0,270.0,top
D1,73.0,13.0,0.0,top
D2,80.4,17.4,90.0,top
D3,75.4,7.3,0.0,top
D4,86.4,33.1,180.0,top
D5,73.7,44.9,0.0,top
D6,77.8,43.3,270.0,top
F1,87.1,7.1,0.0,top
FID1,97.0,42.0,0.0,top
FID2,3.0,8.0,0.0,top
H1,93.0,48.5,0.0,top
H2,7.0,1.5,0.0,top
H3,7.0,48.5,0.0,top
J1,94.6625,9.9,90.0,top
J3,33.9,43.05,180.0,top
J4,56.4,44.525,180.0,top
J5,62.9,44.5,180.0,top
J6,49.6,44.5,180.0,top
J7,36.0,17.9335,0.0,top
Q1,83.9,14.4,180.0,top
Q2,79.4,12.5,0.0,top
Q3,93.0,43.1,270.0,top
Q4,69.5,45.2,180.0,top
R1,62.1,14.5,180.0,top
R10,84.1,17.5,90.0,top
R11,72.15,31.44,180.0,top
R13,55.72,18.3,180.0,top
R14,55.7,20.5,180.0,top
R15,82.0,33.2,180.0,top
R16,54.1,14.69,90.0,top
R17,55.6,14.19,90.0,top
R18,89.4,28.9,270.0,top
R19,92.0,39.6,270.0,top
R2,89.2,4.3,0.0,top
R20,88.1,28.9,270.0,top
R21,75.41,9.1,180.0,top
R22,70.3,42.2,180.0,top
R23,73.6,48.4,180.0,top
R24,89.6,21.7,270.0,top
R25,88.3,21.7,270.0,top
R27,20.2,46.1,270.0,top
R28,34.3,3.4,270.0,top
R29,51.13,38.01,90.0,top
R3,89.53,14.94,90.0,top
R30,51.57,39.7,0.0,top
R31,43.0,3.62,90.0,top
R4,60.4,14.0,90.0,top
R5,72.9,14.8,180.0,top
R6,71.11,20.9,180.0,top
R7,71.11,22.0,180.0,top
R8,85.4,17.5,90.0,top
R9,70.47,28.32,270.0,top
SW1,97.14,36.21,90.0,top
SW2,65.5,10.7,180.0,top
SW3,66.1,33.1,0.0,top
SW4,94.9,27.3,180.0,top
SW5,94.9,19.8,180.0,top
TP4,74.9,3.45,180.0,top
U1,65.5,22.7,0.0,top
U2,87.2,10.4,0.0,top
U3,82.0,28.9375,270.0,top
U4,73.5,26.0,270.0,top
U5,15.4,44.7,270.0,top
Y1,58.5865,23.4,90.0,top
Y2,9.6,45.9,270.0,top
